date,poi-1,poi-2,poi-3,poi-4,poi-5,poi-6,poi-7,poi-8,poi-9,poi-10,poi-11,poi-12,poi-13,poi-14,poi-15,poi-16,poi-17,poi-18,poi-19,poi-20,poi-21,poi-22,poi-23,poi-24,poi-25,poi-26,poi-27,poi-28,poi-29,poi-30,poi-31,poi-32,poi-33,poi-34,poi-35,poi-36,poi-37,poi-38,poi-39,poi-40,poi-41,poi-42,poi-43,poi-44,poi-45,poi-46,poi-47,poi-48,poi-49,poi-50,poi-51,poi-52,poi-53,poi-54,poi-55,poi-56,poi-57,poi-58,poi-59,poi-60,poi-61,poi-62,poi-63,poi-64,poi-65,poi-66,poi-67,poi-68,poi-69,poi-70,poi-71,poi-72,poi-73,poi-74,poi-75,poi-76,poi-77,poi-78,poi-79,poi-80,poi-81,poi-82,poi-83,poi-84,poi-85,poi-86,poi-87,poi-88,poi-89,poi-90,poi-91,poi-92,poi-93,poi-94,poi-95,poi-96,poi-97,poi-98,poi-99,poi-100,poi-101,poi-102,poi-103,poi-104,poi-105,poi-106,poi-107,poi-108,poi-109,poi-110,poi-111,poi-112,poi-113,poi-114,poi-115,poi-116,poi-117,poi-118,poi-119,poi-120,poi-121,poi-122,poi-123
2017_10_14,32,43,12,17,10,54,2,7,49,23,10,206,12,27,92,25,51,16,10,54,1,10,31,7,7,37,1,26,6,25,11,23,9,6,12,0,8,21,9,7,4,23,3,3,0,108,10,1,0,7,89,0,2,9,8,3,86,2,5,5,39,5,38,2,7,10,6,10,1,11,38,1,17,14,7,18,1,23,30,24,80,0,20,11,78,8,1,24,14,5,7,5,1,3,14,2,24,2,24,34,22,43,5,8,7,20,46,12,16,8,4,1,8,0,8,1,5,0,3,10,7,0,2
2017_08_04,42,49,18,18,20,68,3,7,52,25,10,190,11,21,88,9,36,10,7,57,1,8,38,12,9,37,2,26,11,13,14,21,9,6,11,0,5,21,3,15,7,16,0,2,0,104,9,0,0,8,121,2,1,10,5,3,94,2,15,9,45,10,52,5,7,8,3,6,1,22,30,1,8,16,10,15,0,23,27,26,66,2,20,13,86,10,1,15,9,7,11,3,1,7,15,0,20,0,24,27,23,40,4,5,4,18,42,9,22,9,2,4,6,4,7,0,5,0,6,11,6,3,3
2017_08_10,45,33,8,17,11,67,3,10,52,18,8,190,17,28,94,9,34,11,7,50,1,9,47,17,7,40,3,10,12,20,8,28,8,7,14,4,6,8,5,7,9,17,2,2,0,107,5,0,1,6,140,1,4,9,8,3,91,2,7,9,44,7,44,0,9,20,2,7,0,17,31,2,11,32,10,14,3,20,9,16,69,0,13,10,89,9,2,25,18,5,8,7,0,4,12,2,25,1,26,29,19,34,4,8,5,16,50,13,23,7,4,2,7,4,7,2,9,1,6,11,6,0,3
2017_08_12,23,50,9,17,22,58,3,7,55,17,9,172,6,14,78,16,49,8,6,41,1,20,48,10,7,42,0,14,15,16,11,18,12,10,14,3,6,21,7,12,7,34,0,1,1,87,9,0,0,6,150,2,1,9,9,1,76,0,12,7,41,8,43,1,6,15,2,9,2,16,49,2,15,18,9,29,3,28,26,18,73,2,15,12,73,6,0,25,15,7,11,5,0,3,10,0,33,3,23,27,33,36,6,6,7,17,49,13,20,7,3,1,6,1,6,0,11,0,8,8,9,1,3
2017_09_03,42,44,19,19,17,59,2,6,50,26,11,210,8,17,85,11,53,13,11,62,0,6,44,15,10,35,1,10,8,27,7,28,13,5,8,5,5,6,3,18,6,34,3,3,1,83,10,0,0,8,83,2,1,9,5,3,86,1,15,3,47,6,43,5,5,15,3,6,0,22,45,1,19,31,5,26,2,20,29,15,66,0,9,16,96,7,0,14,7,7,12,6,1,3,9,1,16,2,33,33,27,38,2,5,7,19,44,8,24,8,0,1,6,2,6,2,9,2,6,6,7,2,3
2017_09_09,44,47,10,12,18,57,3,6,52,20,10,187,18,14,94,19,59,16,11,48,1,19,36,8,7,37,2,8,9,20,10,27,5,7,20,3,6,9,9,16,7,28,4,1,0,109,5,1,1,7,118,0,4,14,7,4,83,1,9,3,44,7,45,2,6,10,6,6,0,13,39,0,13,11,10,14,1,23,10,27,63,1,17,14,82,9,1,25,19,5,11,2,0,3,13,0,25,1,36,38,34,59,1,8,6,18,42,12,17,10,4,3,6,2,7,0,10,1,3,10,4,1,3
2017_09_10,38,23,5,14,22,66,2,9,54,25,7,180,11,14,95,21,62,9,16,64,0,9,35,12,6,35,3,11,12,18,6,28,15,5,14,0,9,14,9,7,7,27,1,3,0,118,8,0,1,8,143,2,2,5,5,0,89,0,5,3,50,4,45,4,10,9,5,8,0,14,36,0,8,10,9,28,0,18,10,15,80,2,11,12,79,8,0,15,10,5,7,6,1,4,19,2,33,2,18,37,23,39,5,7,7,16,47,8,16,10,3,3,10,0,5,1,15,2,4,7,7,2,3
2017_09_12,45,40,10,16,21,64,2,7,55,24,6,207,20,22,78,13,33,20,14,26,0,8,33,10,5,45,2,12,13,15,6,31,11,10,8,2,9,20,6,17,6,29,0,4,1,72,6,0,0,8,132,1,0,10,10,2,82,2,14,6,38,8,48,2,10,10,6,8,0,24,34,1,13,15,5,28,0,25,17,25,83,1,11,13,88,5,1,14,7,8,13,2,1,4,11,2,16,0,20,33,20,42,5,5,4,22,44,8,16,11,4,1,11,3,6,2,9,2,3,8,6,3,3
2017_09_22,38,22,19,12,8,63,3,10,49,25,7,197,11,19,78,23,37,10,16,27,0,16,39,8,9,44,2,26,5,23,12,23,10,12,19,4,8,13,7,7,10,22,1,4,0,101,5,0,0,8,143,2,0,5,7,3,82,2,10,7,43,10,46,2,10,17,6,10,0,21,46,2,13,21,5,15,2,19,18,17,80,1,20,15,88,6,0,23,10,6,10,2,0,3,19,1,31,0,33,28,21,39,4,6,5,21,39,9,18,12,2,1,7,3,7,1,15,0,6,9,6,2,3
2017_09_29,43,31,6,19,10,70,3,5,49,26,11,199,20,21,79,10,45,20,12,35,1,11,37,14,10,39,0,26,14,25,15,31,6,13,6,3,6,9,3,16,2,28,4,4,1,83,8,0,0,5,132,0,0,14,6,0,94,0,11,6,55,5,46,5,5,10,2,6,1,11,39,1,20,18,7,15,3,25,11,17,74,2,10,11,76,6,0,25,12,7,7,5,0,5,20,2,16,3,22,42,25,57,4,8,7,20,47,7,25,8,3,2,7,0,8,0,10,1,7,10,8,2,3
