date,poi-1,poi-2,poi-3,poi-4,poi-5,poi-6,poi-7,poi-8,poi-9,poi-10,poi-11,poi-12,poi-13,poi-14,poi-15,poi-16,poi-17,poi-18,poi-19,poi-20,poi-21,poi-22,poi-23,poi-24,poi-25,poi-26,poi-27,poi-28,poi-29,poi-30,poi-31,poi-32,poi-33,poi-34,poi-35,poi-36,poi-37,poi-38,poi-39,poi-40,poi-41,poi-42,poi-43,poi-44,poi-45,poi-46,poi-47,poi-48,poi-49,poi-50,poi-51,poi-52,poi-53,poi-54,poi-55,poi-56,poi-57,poi-58,poi-59,poi-60,poi-61,poi-62,poi-63,poi-64,poi-65,poi-66,poi-67,poi-68,poi-69,poi-70,poi-71,poi-72,poi-73,poi-74,poi-75,poi-76,poi-77,poi-78,poi-79,poi-80,poi-81,poi-82,poi-83,poi-84,poi-85,poi-86,poi-87,poi-88,poi-89,poi-90,poi-91,poi-92,poi-93,poi-94,poi-95,poi-96,poi-97,poi-98,poi-99,poi-100,poi-101,poi-102,poi-103,poi-104,poi-105,poi-106,poi-107,poi-108,poi-109,poi-110,poi-111,poi-112,poi-113,poi-114,poi-115,poi-116,poi-117,poi-118,poi-119,poi-120,poi-121,poi-122,poi-123
2017_09_20,20,46,10,5,17,70,2,9,51,20,14,202,23,13,78,19,42,14,10,50,1,6,32,11,10,42,0,11,10,15,12,31,10,13,17,3,6,9,5,9,6,28,0,2,1,114,5,1,1,8,81,0,4,9,8,3,68,0,6,4,51,7,44,2,6,18,6,7,2,21,37,1,20,21,5,17,1,23,10,15,61,1,12,11,87,10,0,23,8,8,8,4,1,5,11,1,27,3,23,28,18,37,5,9,6,19,46,7,27,11,4,2,9,0,5,0,8,0,8,10,4,3,5
2017_09_27,39,23,9,14,7,56,2,5,55,19,13,193,17,22,96,16,44,18,8,27,0,11,38,18,10,43,1,23,7,26,9,20,13,13,13,1,5,21,8,9,2,24,4,1,1,87,7,0,0,7,130,0,4,12,10,0,96,2,6,5,49,9,39,6,5,19,4,6,3,25,32,0,12,18,9,29,1,24,27,13,68,0,13,12,72,10,2,18,11,6,7,0,1,3,11,2,18,2,22,33,36,50,1,6,7,19,49,8,20,9,3,3,8,4,8,0,12,1,8,9,5,3,5
2017_09_30,30,24,6,16,20,62,3,6,53,17,14,183,14,24,87,22,31,18,8,34,0,19,33,10,7,45,1,12,5,23,13,21,7,12,8,0,9,11,4,7,9,27,3,3,1,108,9,0,1,8,115,0,1,13,10,2,66,0,8,4,37,8,56,1,6,12,6,6,3,15,33,1,18,16,10,20,0,27,19,16,74,2,10,14,86,10,1,23,5,8,11,7,0,7,14,2,15,2,26,41,18,37,0,7,7,20,41,13,17,7,4,4,7,2,6,1,10,0,7,10,6,1,5
2017_10_02,20,45,8,19,21,68,3,7,54,19,11,177,10,30,84,17,35,14,9,47,0,19,33,12,5,38,3,16,5,20,6,20,10,6,10,3,9,8,6,15,8,20,3,2,0,102,6,0,1,8,111,0,2,6,10,2,73,1,13,8,43,5,36,6,10,16,2,7,1,18,41,0,15,18,9,14,0,15,25,27,68,1,14,16,87,6,0,24,10,6,12,5,0,6,12,2,29,3,25,42,26,57,3,5,4,20,39,11,18,9,0,1,7,1,6,2,18,0,2,6,6,1,5
2017_10_06,33,32,10,7,11,50,2,10,54,23,6,175,20,31,100,15,35,20,9,48,0,18,33,16,9,39,3,24,12,19,5,20,12,8,7,0,5,6,6,17,8,33,1,4,1,76,9,0,0,8,109,2,3,11,8,4,83,0,9,8,55,4,53,1,6,13,5,9,3,9,45,0,13,23,8,27,0,23,29,25,74,2,20,10,90,6,2,24,18,7,5,7,0,4,14,1,27,0,34,37,33,48,2,8,4,17,45,8,26,12,1,2,10,1,7,1,11,0,5,6,8,1,5
2017_10_07,39,23,11,8,20,63,3,6,52,25,10,176,19,22,89,23,54,13,6,33,0,13,41,8,6,37,1,25,11,25,7,20,11,11,7,2,9,11,7,20,7,17,0,3,1,101,5,0,0,6,119,0,2,5,5,1,86,0,5,7,35,7,46,5,10,16,5,9,0,9,48,2,13,10,9,25,1,17,16,18,83,2,9,16,88,8,1,26,9,6,5,4,0,6,10,1,14,3,29,32,19,37,0,8,4,17,38,12,18,11,3,2,7,1,6,1,16,1,2,7,4,1,5
2017_10_21,45,39,5,11,7,55,3,9,52,23,8,177,5,22,83,21,57,18,5,49,1,16,33,11,8,41,3,11,5,17,9,19,15,12,9,1,6,9,7,16,3,30,3,4,1,73,7,1,1,8,141,2,0,6,7,1,89,1,5,5,40,8,40,3,8,19,2,9,3,10,41,1,9,26,9,25,2,26,24,19,71,2,16,15,79,9,1,27,16,8,12,6,1,5,15,1,32,1,18,31,19,54,6,6,5,19,39,8,24,10,4,3,11,4,7,3,10,0,3,11,7,3,5
2017_10_24,37,23,10,16,10,63,3,8,51,17,12,216,23,21,90,21,59,17,13,62,1,14,49,7,7,37,1,9,11,17,8,29,7,9,8,5,6,16,7,8,4,20,4,0,0,120,6,0,0,5,109,1,0,9,10,1,67,2,9,8,35,7,38,2,7,13,4,5,1,11,43,1,20,25,8,15,2,23,26,20,60,1,14,15,87,8,1,19,10,8,6,0,1,3,8,1,25,0,19,36,36,58,5,8,4,22,39,10,21,7,3,4,9,3,8,2,14,1,6,7,7,2,5
2017_10_26,20,28,5,13,19,55,3,8,54,23,10,196,17,20,95,25,51,6,15,28,1,20,46,12,8,37,2,15,5,15,16,19,5,5,14,3,6,6,9,16,5,30,3,5,1,101,7,0,0,7,99,0,2,13,6,0,85,2,7,5,51,4,56,6,8,14,5,5,1,18,36,1,11,15,7,17,2,23,13,16,74,0,16,17,83,7,2,14,19,7,7,5,1,7,19,0,27,3,26,35,24,49,6,10,4,20,47,7,18,11,1,2,8,4,6,1,13,0,3,9,6,0,5
2017_08_03,22,30,8,12,17,64,2,10,53,17,12,184,23,17,92,23,56,15,15,52,1,5,48,11,10,44,0,19,9,28,12,21,8,10,13,5,9,12,4,15,4,25,4,0,1,77,5,1,0,7,134,0,3,10,5,2,83,1,11,9,39,4,54,0,10,17,6,7,3,23,37,1,20,23,7,26,2,22,17,21,62,0,13,13,92,9,1,15,11,7,9,1,0,3,12,0,35,2,25,34,20,39,6,5,4,16,49,11,19,12,4,3,7,1,8,2,8,2,7,7,6,2,6
2017_08_06,41,30,20,5,18,67,2,10,55,20,11,215,8,31,76,11,50,12,5,39,0,5,48,11,9,36,0,19,9,15,12,25,10,12,18,3,7,21,5,12,5,21,2,5,1,119,6,1,0,7,83,0,1,13,5,3,77,1,14,7,50,8,46,6,8,15,5,9,1,23,39,0,14,10,10,26,2,23,18,24,75,2,18,16,77,9,2,26,18,8,8,2,0,3,10,0,25,1,21,41,21,60,6,5,7,20,41,11,20,10,1,4,9,3,8,1,11,0,3,8,9,3,6
2017_08_15,29,24,11,18,21,53,3,7,54,21,11,214,22,24,90,12,56,11,4,61,1,19,31,19,10,39,3,14,14,16,16,21,13,10,14,5,7,21,8,17,8,27,2,5,0,103,9,1,1,7,123,0,2,14,10,2,87,2,14,5,50,10,49,0,9,12,4,6,3,23,47,0,9,10,5,27,3,21,12,18,76,0,17,15,97,9,1,18,7,6,13,6,1,5,12,1,16,0,24,35,21,58,2,6,6,21,46,11,22,11,4,1,7,3,5,1,5,1,5,7,5,3,6
2017_08_24,45,45,17,11,7,56,2,7,53,17,10,187,21,31,77,24,32,16,4,60,0,12,39,15,6,45,0,27,14,22,11,21,14,9,20,4,6,18,3,13,9,17,4,5,0,112,10,1,0,6,103,2,4,12,5,1,81,1,11,9,39,7,50,3,9,15,2,9,0,10,38,1,17,34,7,30,1,27,11,13,72,2,18,9,72,9,0,16,5,5,11,3,1,5,11,0,17,2,36,39,30,40,1,6,4,17,44,7,27,12,1,3,7,4,8,1,11,0,5,9,9,2,6
2017_08_28,26,32,19,17,13,65,3,7,50,19,9,197,13,24,84,26,30,10,14,32,0,13,45,7,7,41,1,25,6,21,11,27,12,13,20,0,6,19,7,12,10,21,1,5,1,118,7,0,0,8,104,0,4,9,8,2,68,0,14,3,52,4,41,2,7,17,2,6,0,14,45,2,19,15,6,21,1,28,10,16,73,0,18,9,79,9,2,25,16,8,12,6,0,3,19,2,17,3,20,27,35,38,1,9,6,17,47,11,17,11,2,1,8,0,5,2,19,0,8,8,8,0,6
2017_09_05,34,35,8,6,17,55,2,10,54,23,9,171,20,20,91,13,34,13,14,53,1,19,45,19,9,44,3,12,11,17,5,23,11,12,17,5,9,13,8,16,2,28,4,1,1,72,7,1,0,7,92,1,0,12,9,1,87,1,14,3,47,8,39,6,9,9,5,7,2,25,38,2,15,27,6,14,0,21,26,14,82,2,14,15,93,9,2,18,7,7,11,1,1,7,19,0,22,0,30,29,20,55,3,10,4,21,40,8,26,9,4,2,11,3,8,0,10,0,2,6,6,0,6
2017_09_23,41,27,18,6,11,59,2,6,55,20,7,176,12,16,92,15,51,16,4,40,0,19,31,19,6,39,2,17,13,20,8,20,5,11,11,2,10,18,3,16,3,18,0,3,1,82,9,0,1,8,144,2,4,13,9,3,93,0,12,6,41,5,40,4,7,17,4,10,3,18,41,2,16,22,10,22,3,25,27,24,78,0,19,12,91,6,1,16,14,7,5,6,0,4,18,2,19,2,24,42,20,48,5,6,5,22,44,7,17,9,3,4,8,4,5,0,9,2,6,10,4,2,6
2017_09_25,36,45,11,10,18,51,3,9,54,22,7,194,9,17,99,14,51,16,15,45,0,5,35,11,7,39,1,20,10,17,14,20,13,11,7,2,7,22,3,11,8,25,0,5,1,99,10,0,0,8,107,1,0,8,5,3,76,1,11,9,48,7,48,3,6,16,5,6,0,19,41,1,13,33,8,17,1,15,10,13,75,0,17,12,75,8,0,25,6,5,11,4,1,6,12,1,33,3,19,29,36,60,5,5,6,19,41,7,20,9,2,1,6,1,5,3,16,0,4,10,5,3,6
2017_10_17,30,47,6,18,19,55,2,7,51,20,10,182,6,23,99,19,41,10,8,26,1,19,47,8,5,42,2,12,5,21,7,28,5,6,11,5,6,8,5,17,2,22,0,1,1,95,8,1,0,5,132,1,3,9,6,3,68,1,14,3,39,5,45,4,9,20,2,5,1,13,35,0,10,14,10,23,0,24,25,27,76,1,10,11,83,7,2,16,17,6,11,0,1,3,16,0,29,3,35,30,22,37,2,10,4,16,49,13,25,7,3,1,9,0,6,2,11,0,8,11,8,3,6
2017_10_29,41,41,12,12,20,59,2,10,50,25,12,210,15,16,87,13,52,12,7,47,1,16,34,7,5,40,2,20,7,18,9,23,5,12,19,0,10,5,4,18,4,24,3,1,0,117,8,0,0,6,146,1,2,5,10,0,78,0,5,6,48,7,49,6,8,16,5,6,2,20,37,1,16,31,9,16,2,25,29,14,83,0,12,14,96,7,1,14,15,7,9,1,1,4,11,0,16,2,36,35,34,38,4,9,6,20,41,11,23,10,2,3,9,4,5,2,13,1,6,6,8,0,6
